source,browser,sex,age,country_name,n_device_occur,signup_month,signup_day,signup_day_name,purchase_month,purchase_day,purchase_day_name,purchase_over_time,class
SEO,Chrome,M,39,Japan,1,2,24,Tuesday,4,18,Saturday,8500.0,0
Ads,Chrome,F,53,United States,1,6,7,Sunday,6,8,Monday,inf,0
SEO,Opera,M,53,United States,12,1,1,Thursday,1,1,Thursday,inf,1
SEO,Safari,M,41,Unknown Country,1,4,28,Tuesday,5,4,Monday,inf,0
Ads,Safari,M,45,United States,1,7,21,Tuesday,9,9,Wednesday,9750.0,0
Ads,Chrome,M,18,Canada,1,5,21,Thursday,7,9,Thursday,10500.0,0
Ads,Chrome,F,19,Unknown Country,1,8,1,Saturday,8,27,Thursday,5500.0,0
Ads,Opera,M,34,United States,1,4,6,Monday,5,25,Monday,6750.0,0
SEO,IE,F,43,China,1,4,21,Tuesday,6,2,Tuesday,10000.0,0
Ads,IE,M,31,United States,1,1,25,Sunday,3,23,Monday,12400.0,0
Ads,Safari,F,35,United States,1,7,11,Saturday,10,28,Wednesday,1444.4444444444443,0
Direct,Chrome,M,32,Unknown Country,1,5,29,Friday,6,16,Tuesday,58000.0,0
SEO,Safari,M,33,Unknown Country,1,6,16,Tuesday,6,21,Sunday,inf,0
Direct,Safari,M,38,Brazil,1,3,3,Tuesday,4,5,Sunday,16666.666666666668,0
SEO,IE,M,24,Unknown Country,1,2,16,Monday,4,16,Thursday,3000.0,0
SEO,Safari,F,24,India,1,2,1,Sunday,3,24,Tuesday,14500.0,0
SEO,FireFox,M,23,United States,1,5,15,Friday,8,11,Tuesday,8142.857142857143,0
Ads,Safari,M,38,Unknown Country,1,3,20,Friday,4,5,Sunday,55000.0,0
Ads,FireFox,M,24,Argentina,1,2,3,Tuesday,3,24,Tuesday,10000.0,0
Direct,FireFox,F,53,United Kingdom,1,7,17,Friday,11,12,Thursday,5111.111111111111,0
Direct,FireFox,F,23,Unknown Country,1,7,8,Wednesday,7,20,Monday,24000.0,0
SEO,Chrome,M,28,Unknown Country,1,8,8,Saturday,10,3,Saturday,11750.0,0
SEO,Chrome,F,24,China,1,1,30,Friday,4,22,Wednesday,6714.285714285715,0
Ads,IE,M,34,United States,1,1,8,Thursday,3,29,Sunday,4166.666666666667,0
Direct,IE,F,35,United States,8,1,11,Sunday,1,11,Sunday,inf,1
SEO,FireFox,M,36,United States,2,1,4,Sunday,1,16,Friday,31000.0,1
Ads,IE,M,32,United States,1,1,28,Wednesday,1,29,Thursday,inf,0
SEO,Chrome,F,28,United States,1,7,12,Sunday,7,29,Wednesday,54000.0,0
SEO,IE,M,19,South Africa,1,5,29,Friday,9,5,Saturday,1500.0,0
SEO,Chrome,F,27,United States,11,1,7,Wednesday,1,7,Wednesday,inf,1
SEO,FireFox,F,39,United States,1,4,3,Friday,6,1,Monday,6000.0,0
SEO,IE,M,56,China,1,8,5,Wednesday,8,14,Friday,56000.0,0
Direct,Chrome,F,32,Japan,1,2,13,Friday,4,23,Thursday,14400.0,0
Ads,IE,F,21,United States,2,1,3,Saturday,2,26,Thursday,9500.0,0
SEO,IE,M,22,United States,1,6,12,Friday,7,11,Saturday,16500.0,0
SEO,IE,M,39,Germany,1,2,9,Monday,2,22,Sunday,53000.0,0
Ads,Opera,M,35,United States,1,1,31,Saturday,4,14,Tuesday,4500.0,0
Ads,FireFox,M,30,China,1,8,12,Wednesday,9,9,Wednesday,28000.0,0
SEO,Chrome,M,57,China,1,4,25,Saturday,7,29,Wednesday,3375.0,0
Ads,IE,M,30,Unknown Country,1,5,25,Monday,6,23,Tuesday,26000.0,0
Direct,Chrome,F,44,Japan,1,8,16,Sunday,8,24,Monday,52000.0,0
Ads,Chrome,M,36,Unknown Country,1,3,19,Thursday,3,21,Saturday,inf,0
SEO,FireFox,M,19,Mexico,1,6,9,Tuesday,9,17,Thursday,4375.0,0
Ads,IE,M,40,United States,1,2,19,Thursday,3,3,Tuesday,25000.0,0
SEO,FireFox,F,35,Brazil,1,7,25,Saturday,8,26,Wednesday,6000.0,0
Ads,IE,M,55,United States,2,8,16,Sunday,11,17,Tuesday,1714.2857142857142,0
Ads,FireFox,M,23,United States,1,1,24,Saturday,3,21,Saturday,15000.0,0
Ads,Chrome,F,24,Sweden,1,5,3,Sunday,6,1,Monday,45500.0,0
Ads,FireFox,M,37,Unknown Country,1,5,17,Sunday,9,9,Wednesday,4111.111111111111,0
Direct,Chrome,F,23,Korea Republic of,1,6,22,Monday,10,19,Monday,2888.8888888888887,0
Ads,FireFox,F,45,Brazil,1,5,12,Tuesday,7,31,Friday,12500.0,0
SEO,Safari,F,44,Peru,1,2,13,Friday,4,4,Saturday,6750.0,0
Ads,Safari,M,32,United States,2,1,8,Thursday,4,28,Tuesday,1666.6666666666667,0
Ads,Safari,F,20,United States,1,7,6,Monday,7,22,Wednesday,54000.0,0
Ads,Safari,M,38,Portugal,1,7,10,Friday,10,13,Tuesday,4375.0,0
SEO,Chrome,F,48,Bangladesh,1,2,9,Monday,4,8,Wednesday,10200.0,0
Ads,Safari,M,25,Korea Republic of,1,1,16,Friday,4,12,Sunday,11571.42857142857,0
SEO,Chrome,F,25,France,1,7,4,Saturday,7,16,Thursday,33000.0,0
Direct,Chrome,M,31,United States,2,5,14,Thursday,7,11,Saturday,13800.0,0
SEO,IE,M,30,France,1,2,1,Sunday,2,20,Friday,36000.0,1
Ads,IE,M,28,Unknown Country,1,1,18,Sunday,4,19,Sunday,3857.1428571428573,1
Direct,Chrome,F,46,Taiwan; Republic of China (ROC),1,2,20,Friday,5,3,Sunday,7333.333333333333,0
SEO,FireFox,M,41,Russian Federation,1,4,18,Saturday,6,3,Wednesday,2500.0,0
Ads,IE,M,35,Unknown Country,1,1,5,Monday,3,15,Sunday,2800.0,1
Ads,FireFox,M,36,United States,6,1,7,Wednesday,1,7,Wednesday,inf,1
SEO,IE,M,20,Belgium,1,6,28,Sunday,8,2,Sunday,18000.0,0
SEO,FireFox,F,31,Germany,1,4,30,Thursday,7,4,Saturday,7000.0,0
SEO,IE,M,29,United Kingdom,1,6,2,Tuesday,6,8,Monday,inf,0
SEO,Chrome,M,26,Korea Republic of,1,4,13,Monday,5,4,Monday,14500.0,0
Ads,FireFox,F,22,United States,1,3,15,Sunday,5,3,Sunday,18000.0,0
Ads,IE,F,24,Korea Republic of,1,7,22,Wednesday,8,10,Monday,21000.0,0
Ads,Chrome,M,43,Denmark,1,4,26,Sunday,7,12,Sunday,10166.666666666666,0
Ads,IE,M,25,China,1,5,29,Friday,6,27,Saturday,28000.0,0
Direct,IE,M,22,China,1,7,29,Wednesday,11,20,Friday,4555.555555555556,0
SEO,FireFox,M,19,United Kingdom,1,7,16,Thursday,9,27,Sunday,8833.333333333334,0
Ads,Chrome,F,32,Korea Republic of,1,7,22,Wednesday,9,23,Wednesday,3800.0,0
Direct,IE,F,25,United Kingdom,1,4,29,Wednesday,7,28,Tuesday,4000.0,0
SEO,Opera,F,30,United States,12,1,7,Wednesday,1,7,Wednesday,inf,1
Ads,Safari,F,19,United States,1,2,4,Wednesday,3,26,Thursday,5250.0,0
SEO,Chrome,M,32,United States,1,7,3,Friday,9,6,Sunday,8000.0,0
Ads,Chrome,M,35,United States,1,2,8,Sunday,2,23,Monday,9000.0,0
Direct,IE,F,24,United States,1,5,10,Sunday,8,31,Monday,8777.777777777777,0
SEO,Chrome,M,33,Korea Republic of,1,7,5,Sunday,8,4,Tuesday,11500.0,0
Ads,Safari,M,43,Unknown Country,20,1,10,Saturday,1,10,Saturday,inf,1
Ads,FireFox,F,45,South Africa,1,3,27,Friday,7,2,Thursday,3250.0,0
Direct,Chrome,M,23,Korea Republic of,1,7,6,Monday,10,5,Monday,10428.57142857143,0
SEO,IE,F,20,United States,1,7,22,Wednesday,8,24,Monday,14000.0,0
SEO,Safari,F,44,United States,1,1,12,Monday,2,25,Wednesday,18000.0,0
SEO,Chrome,M,39,Netherlands,1,6,28,Sunday,9,25,Friday,4142.857142857143,0
